ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
69494;"Abja-Paluoja postipunkt";1;EE;"Viljandi maakond";"Mulgi vald";"Abja-Paluoja linn";NULL;"Pärnu maantee";NULL;21;NULL;25.353927148133;58.1261506146408;"E-R 9.00-18.00; L 9:00-14:00; P suletud";"1.03 avatud: 9:00-16:00";01.03.2019;NULL;NULL;;;;;;2019-02-26T16:38:11.000+02:00
48094;"Adavere postipunkt";1;EE;"Jõgeva maakond";"Põltsamaa vald";"Adavere alevik";NULL;"Tallinna maantee";NULL;6;NULL;25.8996412135384;58.7059373138417;"E-P 9:00-19:00";NULL;NULL;NULL;NULL;;;;;;2018-05-14T10:14:59.000+03:00
74594;"Aegviidu postipunkt";1;EE;"Harju maakond";"Anija vald";"Aegviidu alev";NULL;"Piibe maantee";NULL;8;NULL;25.6065930091524;59.2884511875073;"E-L 10:00-19:00; P 10:00-18:00";NULL;01.01.2019;NULL;NULL;;;;;;2019-01-28T16:16:14.000+02:00
63794;"Ahja postipunkt";1;EE;"Põlva maakond";"Põlva vald";"Ahja alevik";NULL;"Illimari tänav";NULL;6;NULL;27.0699332100434;58.2069079846627;"E,T,R 10.00-14.00;K,N 14.00-18.00;L,P suletud";"7.03 avatud 12.00-14.00";07.03.2019;"4.01-27.04.2019 avatud E,T 10:00-14:00; K,N 14:00-18:00; R,L,P suletud";30.04.2019;;;;;;2019-02-28T08:41:03.000+02:00
96142;"Ahtme Grossi pakiautomaat";0;EE;"Ida-Viru maakond";"Kohtla-Järve linn";"Ahtme linnaosa";NULL;"Maleva tänav";NULL;23;NULL;27.4204368294097;59.3274266671023;NULL;NULL;NULL;NULL;NULL;;;;;;2018-05-18T09:15:32.000+03:00
12994;"Aiandi postipunkt (Roserii looduspood)";1;EE;"Harju maakond";Tallinn;"Mustamäe linnaosa";NULL;"Mustamäe tee";NULL;60;NULL;24.688547614083;59.4134576267468;"T-R 13:00-17:00; L 13:00-15:00; P,E suletud";"01.01-30.04 avatud T-L 12.30-14.30; E,P suletud";30.04.2019;NULL;NULL;;;;;;2019-01-28T16:06:48.000+02:00
9950;"Aizkraukles T/C Iga pakomāts";0;LV;Aizkraukle;"Āboltiņi Aizkraukle";;;;;;;25.263084;56.611536;"P-Pk.piegāde 17:00, izņemšana 10:00 Sestdienās piegāde 13:00,izņemšana 9:00";;;;;;;;"Pa labi no T/C ieejas";;
9980;"Aizputes TOP Zvaigžņu iela pakomāts";0;LV;Aizpute;"Zvaigžņu iela 2, Aizpute";;;;;;;21.607323;56.719004;"P-Pk.piegāde 17:00, izņemšana 10:00 Sestdienās piegāde 13:00,izņemšana 10:00";;;;;;;;"Pie otrās T/C ieejas";;
68594;"Ala postipunkt";1;EE;"Valga maakond";"Tõrva vald";"Ala küla";NULL;NULL;"Ala kauplus";NULL;NULL;25.7018989811636;58.009937861375;"E-R 10.00-19.00;L,P 10.00-15.00";NULL;NULL;NULL;NULL;;;;;;2019-01-14T15:58:05.000+02:00
60294;"Alatskivi postipunkt";1;EE;"Tartu maakond";"Peipsiääre vald";"Alatskivi alevik";NULL;"Hirveaia tänav";NULL;11;NULL;27.1348450791766;58.601973806618;"E-R 9.00-16.00;L 10:00-16:00; P 11:00-15:00";NULL;NULL;NULL;NULL;;;;;;2019-01-07T15:57:04.000+02:00
74494;"Alavere postipunkt";1;EE;"Harju maakond";"Anija vald";"Alavere küla";NULL;NULL;NULL;NULL;NULL;25.3284436360916;59.2452274261914;"E-L 10:00-19:00; P 10:00-17:00";NULL;NULL;NULL;NULL;;;;;;2019-02-11T11:25:54.000+02:00
79696;"Alu postipunkt";1;EE;"Rapla maakond";"Rapla vald";"Alu alevik";NULL;"Keskuse tee";NULL;3;NULL;24.7627587129265;59.0222258393592;"E-R 10:00-20:00;L 10:00-19:00;P 10:00-18:00";NULL;NULL;NULL;NULL;;;;;;2018-09-11T11:25:07.000+03:00
88895;"Alytaus NORFA Topolių paštomatas (naujas!)";0;LT;Alytus;"Topolių g. 1, Alytus";;;;;;;24.028241;54.396616;;;;;;;;;;"Paštomatą rasite lauke prie sienos iš parkavimo aikštelės pusės";
88854;"Alytaus PC ARENA paštomatas";0;LT;Alytus;"Naujoji g. 7E, Alytus";;;;;;;24.014968;54.409792;;;;;;;;;;"Paštomatą rasite lauke, prie pagrindinio įėjimo sienos dešiniojo kampo";
88855;"Alytaus RIMI Pulko paštomatas";0;LT;Alytus;"Pulko g. 53A, Alytus";;;;;;;24.043778;54.387953;;;;;;;;;;"Paštomatą rasite lauke, prie įėjimo į prekybos centrą, kairėje pusėje";
9951;"Alūksnes T/C Maxima X pakomāts";0;LV;Alūksne;"Pils iela 9b, Alūksne";;;;;;;27.039393;57.430149;"P-Pk.piegāde 17:00, izņemšana 10:00 Sestdienās piegāde 16:00,izņemšana 12:00";;;;;;;;"Pa labi no T/C ieejas";;
96118;"Antsla Konsum pakiautomaat";0;EE;"Võru maakond";"Antsla vald";"Antsla linn";NULL;"Põllu tänav";NULL;15;NULL;26.5328698824116;57.8288615289506;NULL;NULL;NULL;NULL;NULL;;;;;;2016-05-11T14:55:19.000+03:00
66401;"Antsla postkontor";1;EE;"Võru maakond";"Antsla vald";"Antsla linn";NULL;"Friedrich Reinhold Kreutzwaldi tänav";NULL;2;NULL;26.5292980057806;57.8290427185943;"E,K 11:00-18:00; T,N,R 9:00-16:00; L,P suletud";"Al 18.02 ajutiselt avatud T,N 9:00-16:00; E,K,R,L,P suletud";31.03.2019;NULL;NULL;;;;;;2019-02-26T16:41:58.000+02:00
88800;"Anykščių NORFA Vilniaus g. paštomatas";0;LT;Anykščiai;"Vilniaus g. 22, Anykščiai";;;;;;;25.098652;55.522864;;;;;;;;;;"Paštomatą rasite lauke, prie įėjimo iš Kudirkos g. dešinėje pusėje";
73516;"Aravete postkontor";1;EE;"Järva maakond";"Järva vald";"Aravete alevik";NULL;"Piibe maantee";NULL;16;NULL;25.7513922837395;59.1445066099348;"E,T,K,R 8:30-15:00;N 8:30-17:30;L,P suletud";NULL;NULL;NULL;NULL;;;;;;2019-02-04T11:39:42.000+02:00
75095;"Ardu postipunkt";1;EE;"Harju maakond";"Kose vald";"Ardu alevik";NULL;"Kesk tee";NULL;6;NULL;25.3587413659212;59.099939943539;"E,T,N,R 9:00-17:00, K 11:00-19:00 ja L,P suletud; Lõuna 12:30-13:00; Iga kuu viimane tööpäev suletud";"al. 1.02 ajutiselt avatud valla teeninduspunktis E,T,N 9:00-17:00; lõuna 12:30-13:00";30.04.2019;NULL;NULL;;;;;;2019-02-18T11:05:46.000+02:00
11701;"Arsenali postkontor";1;EE;"Harju maakond";Tallinn;"Põhja-Tallinna linnaosa";NULL;"Erika tänav";NULL;14;NULL;24.7171296341816;59.4512271907898;"E-R 10.00-20.00;L 10.00-17.00;P suletud";NULL;NULL;NULL;NULL;;;;;;2019-02-25T16:07:03.000+02:00
96204;"Aruküla Konsumi pakiautomaat";0;EE;"Harju maakond";"Raasiku vald";"Aruküla alevik";NULL;"Tallinna maantee";NULL;8;NULL;25.0778530196993;59.3709787035106;NULL;NULL;NULL;NULL;NULL;;;;;;2018-11-07T16:59:27.000+02:00
75291;"Aruküla postkontor";1;EE;"Harju maakond";"Raasiku vald";"Aruküla alevik";NULL;"Tallinna maantee";NULL;8;NULL;25.0777758206418;59.3707159915061;"T,K,R 8:30-16:00;N 9:00-18:00;L 10:00-13:00;E,P suletud";NULL;NULL;NULL;NULL;;;;;;2019-02-25T16:04:24.000+02:00
96211;"Aseri Grossi pakiautomaat";0;EE;"Lääne-Viru maakond";"Viru-Nigula vald";"Aseri alevik";NULL;"Tehase tänav";NULL;23;NULL;26.8667878006586;59.4496301753562;NULL;NULL;NULL;NULL;NULL;;;;;;2018-11-16T17:28:09.000+02:00
43494;"Aseri postipunkt";1;EE;"Lääne-Viru maakond";"Viru-Nigula vald";"Aseri alevik";NULL;Keskpõik;NULL;2;NULL;26.8695750775978;59.4528866772288;"T-N 10.00-14.00; R-L 12.00-16.00; P,E suletud.";NULL;NULL;NULL;NULL;;;;;;2019-02-25T15:38:03.000+02:00
93794;"Aste postipunkt";1;EE;"Saare maakond";"Saaremaa vald";"Aste alevik";NULL;"Soo tänav";NULL;4;NULL;22.4448540768536;58.3441573237632;"E 10:00-18:00;T-N 9:00-17:00;R 9:00-13:00; Lõuna 12:00-12:30; L,P suletud";"28.02 ja 12.03 suletud";12.03.2019;NULL;NULL;;;;;;2019-02-22T15:44:20.000+02:00
9158;"Auces TOP pakomāts";0;LV;Auce;"Baznīcas iela 1, Auce";;;;;;;22.892116;56.464791;"P-Pk.piegāde 17:00, izņemšana 10:00 Sestdienās piegāde 18:00,izņemšana 12:00";;;;;;;;"Blakus T/C centrālajai ieejai";;
88300;"Audru postkontor";1;EE;"Pärnu maakond";"Pärnu linn";"Audru alevik";NULL;"Pärna allee";NULL;7;NULL;24.3562101153666;58.4076757394351;"E,T 9:00-18:00;K-R 9:00-16:00;L,P suletud";NULL;NULL;NULL;NULL;;;;;;2019-01-31T15:55:22.000+02:00
42095;"Avinurme postipunkt";1;EE;"Jõgeva maakond";"Mustvee vald";"Avinurme alevik";NULL;"Võidu tänav";NULL;18;NULL;26.8697368810859;58.9860375523422;"E-P 09:00-20:00";NULL;NULL;NULL;NULL;;;;;;2018-05-14T10:12:02.000+03:00
9127;"Baldones MEGO pakomāts";0;LV;Baldone;"Rīgas iela 79, Baldone";;;;;;;24.396305;56.742891;"P-Pk.piegāde 17:00, izņemšana 10:00 Sestdienās piegāde 21:00,izņemšana 11:00";;;;;;;;"Pa labi no galvenās ieejas";;
9970;"Baloži Mego pakomāts";0;LV;Baloži;"Rīgas iela 14, Baloži";;;;;;;24.118521;56.875234;"P-Pk.piegāde 12:00, izņemšana 15:00 Sestdienās piegāde 10:00,izņemšana 9:00";;;;;;;;"Pa kreisi no T/C Centrālās ieejas";;
9982;"Balvu TOP pakomāts";0;LV;Balvi;"Partizānu iela 8, Balvi";;;;;;;27.263967;57.132165;"P-Pk.piegāde 17:00, izņemšana 10:00 Sestdienās piegāde 16:00,izņemšana 13:00";;;;;;;;"Pa labi no T/C Centrālās ieejas";;
9940;"Bauskas RIMI pakomāts";0;LV;Bauska;"Zaļā iela 3,Bauska";;;;;;;24.194196;56.40707;"P-Pk.piegāde 17:00, izņemšana 10:00 Sestdienās piegāde 19:00,izņemšana 12:00";;;;;;;;"Blakus T/C centrālajai ieejai";;
